lake,year,year_group,SL,count,mean_length_mm,mean_width_mm,sex
Croche,2025,2025,53.03,22,1.1474869954610303,0.15054599064016047,F
Croche,2025,2025,55.6,22,1.394884761904762,0.14034476190476192,F
Croche,2025,2025,52.71,23,1.336517309089353,0.12477315451723653,M
Croche,2025,2025,47.36,25,0.9719381294408621,0.1194536003758404,M
Rond,2025,2025,NA,21,1.5774598581465198,0.14535698923529838,M
Rond,2025,2025,47.91,21,1.2126269797508544,0.123411890075795,M
Rond,2025,2025,48.26,20,1.1790919287759372,0.10570882323751529,M
Foin,2025,2025,55.22,20,1.0236048855485038,0.16033848230904588,F
Foin,2025,2025,44.02,22,1.0694858242140053,0.0962535253670216,M
Foin,2025,2025,48.16,21,1.1133728249778025,0.13759695425898263,M
Foin,2025,2025,49.15,20,0.8927045095599601,0.1476923249759164,F
Rond,2025,2025,54.95,21,1.8093560815554304,0.14137565664635046,F
Temiscouata,2025,2025,55.35,20,1.5972146963035792,0.16081413991318969,F
Temiscouata,2025,2025,53.84,18,1.516765078724913,0.15033234779266347,M
Temiscouata,2025,2025,56.17,19,1.3713844696969697,0.13169223484848486,M
Croche,2025,2025,55.65,21,1.4228534732932965,0.12798182328359783,M
Croche,2025,2025,62.92,22,1.4438877170830164,0.14582430564523458,M
Croche,2025,2025,54.45,21,1.3436404028746287,0.13158749248918966,M
Croche,2025,2025,62.65,21,1.5034375,0.1303882575757576,M
Croche,2025,2025,58.34,21,1.5020725551419651,0.12196032387661608,M
Croche,2025,2025,57.87,22,1.4792791126829477,0.11996039588702813,F
Croche,2025,2025,56.33,20,1.4396137552363146,0.11571170488880475,M
Croche,2025,2025,55.28,20,1.460406882982205,0.14541265954552443,M
Croche,2025,2025,54.76,22,1.163434469040019,0.10309912171884096,F
Croche,2025,2025,52.74,23,1.2392948232526273,0.11102664635614173,F
Croche,2025,2025,57.29,24,1.4890410486204566,0.13765361806592818,M
Croche,2025,2025,60.84,21,1.7077839147286822,0.1499699612403101,M
Croche,2025,2025,NA,21,1.0159302798104386,0.12892543942995188,M
Croche,2025,2025,55.26,21,1.4189058901248015,0.15752131105913536,F
Croche,2025,2025,61.77,23,1.725864680560628,0.15649665423354708,M
Croche,2025,2025,56.57,22,1.6758128925263582,0.12962574913038014,F
Temiscouata,2025,2025,42.1,18,1.2954640151515153,0.1151221590909091,M
Temiscouata,2025,2025,47.27,21,1.1549452755540153,0.1331445107943236,F
Rond,2025,2025,55.44,22,1.307619784985558,0.1281830051168066,F
Rond,2025,2025,47.05,25,1.4544827586206897,0.0941235632183908,F
Rond,2025,2025,45.33,22,1.6153613068843038,0.10635384619754958,F
Rond,2025,2025,55.99,21,1.4767205069144056,0.15351902396444858,M
Squatec,2025,2025,59.58,20,1.70056267991426,0.11242552275716014,F
Squatec,2025,2025,55.34,22,1.5777097378277152,0.1102003745318352,M
Squatec,2025,2025,53.29,20,1.5335434155968293,0.1415424569326679,M
Squatec,2025,2025,65.44,20,1.223515238095238,0.14211714285714286,M
Squatec,2025,2025,56.72,20,1.4372816345667714,0.17865881845647474,F
Squatec,2025,2025,53.44,22,1.4319687563388692,0.10964231874286355,M
Squatec,2025,2025,55.59,21,1.4266345258754438,0.14716383375664172,F
Squatec,2025,2025,64.99,19,1.7634115601789495,0.18222779439074643,F
Squatec,2025,2025,54.92,20,1.6753162375778943,0.16312717863539036,F
Croche,2025,2025,57.67,22,1.4879880901324576,0.1954066164835327,F
Croche,2025,2025,56.4,22,0.9891840132421014,0.13162032893533893,F
Croche,2025,2025,55.8,22,1.3632257546752478,0.1401282487932634,M
Croche,2025,2025,60.64,21,1.4279445021084987,0.13091645732107846,F
Croche,2025,2025,33.73,19,0.7378563648047144,0.11328541314024199,M
Croche,2025,2025,63.91,23,1.4823088512241054,0.12810075329566856,F
Croche,2025,2025,58.67,19,1.562202230494661,0.15760336718905585,M
Croche,2025,2025,64.84,22,1.4179261906182155,0.15535059787739086,M
Croche,2025,2025,59.16,21,1.533896551724138,0.1613639846743295,M
Croche,2025,2025,60.57,22,1.3822232768182838,0.10103406910240693,M
Croche,2025,2025,67.55,21,1.4976245718705117,0.21928188476224186,F
Croche,2025,2025,55.48,21,1.5172007575757576,0.1196969696969697,M
Croche,2025,2025,42.68,22,0.985114311535718,0.11870267572892829,M
Croche,2025,2025,45.42,21,1.1410416837324127,0.13842791758350914,M
Temiscouata,2025,2025,38.83,20,1.0126156529544943,0.11487033517696285,F
Temiscouata,2025,2025,36.97,22,0.8527961258053096,0.10271140619409216,M
Rond,2025,2025,39.17,21,0.8180419273156329,0.113767000183709,M
Rond,2025,2025,37.07,22,1.0501064852586863,0.0701088601097794,M
Rond,2025,2025,37.93,20,0.9864152215799614,0.09254431599229286,M
Rond,2025,2025,38.83,21,1.1967504063428756,0.10054603670830184,F
Rond,2025,2025,39.74,22,1.0319216221844474,0.08196932494539608,M
Rond,2025,2025,54.75,21,1.8712742047509185,0.14460750084259255,M
Rond,2025,2025,40.91,21,0.8875074719418112,0.08998452539901566,F
Temiscouata,2025,2025,56.83,20,1.9346802449766192,0.11403443235653025,F
Temiscouata,2025,2025,51.26,22,1.3161268634001055,0.09156716331649578,F
Temiscouata,2025,2025,57.96,21,1.5499138903735377,0.14478677570693224,F
